sample,gbstrim_removed,total_reads,no_pair,total_removed,total_remaining,ratio_removed
Sample_IDSW61_A03_S72,12374370,35369292,4122874,16497244,18872048,46.642844872326
Sample_IDSW62_B03_S73,18122134,46928132,4966356,23088490,23839642,49.1996783507172
Sample_IDSW67_C03_S74,4028124,11909678,1590218,5618342,6291336,47.1745919579018
Sample_IDSW70_D03_S75,5891748,16611976,2211094,8102842,8509134,48.7771111636569
Sample_IDSW70_G09_S76,9113986,22441544,2723482,11837468,10604076,52.748010564692
Sample_IDSW71_H09_S77,9824307,24737500,2574201,12398508,12338992,50.1202950985346
Sample_IDSW72_A10_S78,3766980,12272612,1667558,5434538,6838074,44.2818366619918
Sample_IDSW74_B10_S79,4532788,12944358,1756048,6288836,6655522,48.5836068501814
Sample_IDSW74_E03_S80,6028614,15308970,1938072,7966686,7342284,52.0393338023394
Sample_IDSW81_B04_S81,3526179,9255210,1148205,4674384,4580826,50.5054342365003
Sample_IDSW82_C04_S82,3228805,11077062,1451177,4679982,6397080,42.2493076232669
Sample_IDSW84_D04_S83,10014042,27075594,3347706,13361748,13713846,49.3497871182438
Sample_IDSW85_E04_S84,4688149,15663076,1828717,6516866,9146210,41.6065528891005
